group,selection_rate,tpr,fpr,support,positive_cases,negative_cases,roc_auc
18-39,0.014947683109118086,0.18181818181818182,0.0121580547112462,669,11,658,0.7330754352030948
40-59,0.31141868512110726,0.5555555555555556,0.26639344262295084,578,90,488,0.6983834244080146
60+,0.9122257053291536,0.9728260869565217,0.8876651982378855,638,184,454,0.6363543861329247
