group,selection_rate,tpr,fpr,support,positive_cases,negative_cases,roc_auc
Mexican American,0.3900414937759336,0.7714285714285715,0.32524271844660196,241,35,206,0.8026352288488211
Non-Hispanic Asian,0.3333333333333333,0.75,0.2712765957446808,216,28,188,0.7798252279635258
Non-Hispanic Black,0.460446247464503,0.8309859154929577,0.3981042654028436,493,71,422,0.7868800480608771
Non-Hispanic White,0.38922155688622756,0.7777777777777778,0.3216168717047452,668,99,569,0.7911629475777104
Other Hispanic,0.43646408839779005,0.8484848484848485,0.34459459459459457,181,33,148,0.8120393120393121
Other/Multiracial,0.46511627906976744,1.0,0.31343283582089554,86,19,67,0.8711704634721131
