group,selection_rate,tpr,fpr,support,positive_cases,negative_cases,roc_auc
Female,0.3843017329255861,0.7910447761194029,0.31995277449822906,981,134,847,0.7822296428130892
Male,0.43694690265486724,0.8278145695364238,0.35856573705179284,904,151,753,0.8077271487999438
