threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
0.05,0.1190562613430127,0.10651961468658382,0.0
0.1,0.09543177129384026,0.05688181550250514,0.0
0.15,0.07024496801373069,0.0014042752379466172,0.0
0.2,0.04827586206896552,-0.06100795755968172,0.0
0.25,0.029531388152077814,-0.13174182139699384,0.0
0.3,0.017582417582417575,-0.21258052292535054,0.0
0.35,0.008202407671903701,-0.3058559477657621,0.0
0.39999999999999997,-0.0022988505747126367,-0.4146772767462422,0.0
0.44999999999999996,-0.0018808777429467037,-0.5432843019049914,0.0
0.49999999999999994,0.0021220159151193654,-0.6976127320954907,0.0
0.5499999999999999,0.00047155909224875017,-0.8862363689949895,0.0
0.6,-0.0037135278514588838,-1.1220159151193634,0.0
0.65,-0.00325881015536188,-1.4251610458507014,0.0
0.7,-0.0038903625110521646,-1.8293545534924844,0.0
0.75,-0.005835543766578248,-2.395225464190981,0.0
0.7999999999999999,-0.0037135278514588838,-3.2440318302387254,0.0
0.85,0.0,-4.658709106984969,0.0
0.9,0.0,-7.488063660477455,0.0
0.95,0.0,-15.976127320954893,0.0
